,region,constituency,name,pr_djf_anom
541,542,N06000009,Lagan Valley,0.21092853
542,543,N06000010,Mid Ulster,0.16495155
543,544,N06000011,Newry and Armagh,0.18914337
544,545,N06000012,North Antrim,0.22791983
545,546,N06000013,North Down,0.25610352
546,547,N06000014,South Antrim,0.21095495
547,548,N06000015,South Down,0.22506987
548,549,N06000016,Strangford,0.2287467
549,550,N06000017,Upper Bann,0.21495438
550,551,N06000018,West Tyrone,0.20158723
551,552,S14000001,Aberdeen North,0.16482425
552,553,S14000002,Aberdeen South,0.18720293
553,554,S14000003,Airdrie and Shotts,0.19827414
554,555,S14000004,Angus,0.14037699
555,556,S14000005,Argyll and Bute,0.27539513
556,557,S14000006,"Ayr, Carrick and Cumnock",0.36270353
557,558,S14000007,Banff and Buchan,0.16586487
558,559,S14000008,"Berwickshire, Roxburgh and Selkirk",0.13757256
559,560,S14000009,"Caithness, Sutherland and Easter Ross",0.15120031
560,561,S14000010,Central Ayrshire,0.31968188
561,562,S14000011,"Coatbridge, Chryston and Bellshill",0.17752576
562,563,S14000012,"Cumbernauld, Kilsyth and Kirkintilloch East",0.17725801
563,564,S14000013,Dumfries and Galloway,0.18778001
564,565,S14000014,"Dumfriesshire, Clydesdale and Tweeddale",0.14476717
565,566,S14000015,Dundee East,0.14407718
566,567,S14000016,Dundee West,0.14045143
567,568,S14000017,Dunfermline and West Fife,0.17608841
568,569,S14000018,East Dunbartonshire,0.21828032
569,570,S14000019,"East Kilbride, Strathaven and Lesmahagow",0.23625356
570,571,S14000020,East Lothian,0.1706921
571,572,S14000021,East Renfrewshire,0.2619214
572,573,S14000022,Edinburgh East,0.17898798
573,574,S14000023,Edinburgh North and Leith,0.17898798
574,575,S14000024,Edinburgh South,0.17898798
575,576,S14000025,Edinburgh South West,0.18094349
576,577,S14000026,Edinburgh West,0.18094349
577,578,S14000027,Na h-Eileanan an Iar,0.11162782
578,579,S14000028,Falkirk,0.16906023
579,580,S14000029,Glasgow Central,0.23539925
580,581,S14000030,Glasgow East,0.21417117
581,582,S14000031,Glasgow North,0.21805811
582,583,S14000032,Glasgow North East,0.21850252
583,584,S14000033,Glasgow North West,0.21805811
584,585,S14000034,Glasgow South,0.23539925
585,586,S14000035,Glasgow South West,0.23539925
586,587,S14000036,Glenrothes,0.16024256
587,588,S14000037,Gordon,0.15730609
588,589,S14000038,Inverclyde,0.29511595
589,590,S14000039,"Inverness, Nairn, Badenoch and Strathspey",0.15880874
590,591,S14000040,Kilmarnock and Loudoun,0.25871086
591,592,S14000041,Kirkcaldy and Cowdenbeath,0.17662239
592,593,S14000042,Lanark and Hamilton East,0.20636384
593,594,S14000043,Linlithgow and East Falkirk,0.17713356
594,595,S14000044,Livingston,0.19370717
595,596,S14000045,Midlothian,0.16502064
596,597,S14000046,Moray,0.16072942
597,598,S14000047,Motherwell and Wishaw,0.19679809
